question,answer,source_url,has_video_guide,category
How do I become a member?,"To create a new membership, please click the “New Member” button at the top right corner on our home page. It will be adequate for you to fill in the required data and click register. Your membership will be created immediately. However, you may also create a membership at the home page that you will be directed to after you have added product(s) to your cart",https://www.defacto.com/en-eg/statik/new-member,False,new-member
Can I shop without being a member?,"You can also shop without becoming a member at our website. After adding the item/s you like to your cart, please click the complete shopping > without being a member option. You may complete your order after choosing the delivery option, filling in the compulsory areas and specifying your payment option, in order for us to be able to deliver your order in the most accurate manner.",https://www.defacto.com/en-eg/statik/new-member,False,new-member
How can I be aware of campaigns and new products?,"Please subscribe to our e-mail newsletter in order to be notified about campaigns, new products and our special surprises for you. You may either choose to subscribe to the mail newsletter while you are creating the member registration or you may also choose the “I would like to be notified by DeFacto by e-mail, sms” option during checkout without being a member. In addition, you may also subscribe to our newsletter by entering a valid e-mail address at the e-mail newsletter field on the home page footer.",https://www.defacto.com/en-eg/statik/new-member,False,new-member
Is my personal information secure? Will it be shared with other companies and institutions?,"Confidentiality is very important at DeFacto. Your personal information is not shared with any institutions and organizations. Your credit card and debit card data are never recorded in our system. 128 bit encryption with ‘Norton Verisign SSL' certificate, which ensures high security in the whole world, is applied for the security of your personal information and account.",https://www.defacto.com/en-eg/statik/new-member,False,new-member
"I forgot my password, what do I have to do?","Do not worry; you can create a new password if you forget your password. Please click the ‘Did your forget your password?' link. It is only required for you to write your e-mail address here. Your new password will be sent to you. If you wish, you may log in to your account and change your password in the ‘Account Information' section.",https://www.defacto.com/en-eg/statik/new-member,False,new-member
How do I change my membership and address data?,"In case you have registered in our system but need to revise your delivery address or other details, please log-in as user from the ‘Log-in' section and go to ‘My Account' page. You can make the necessary revisions here. From the ‘My Address Book' tab, you can make the desired revision and record more than one address. In addition, you can also revise the invoice address and delivery address data during checkout or choose one of your already recorded addresses.",https://www.defacto.com/en-eg/statik/new-member,False,new-member
"How to make an ""Easy Return""?","Returns will not be accepted at courier branches without a RETURN CODE.You can return the unused products in your defacto delivery with their original packages from our nearest stores within 30 days. You can make changes in our stores or return them on our site by following the steps below.Select the order you want to return from the ""My Orders"" list in the ""My Account"" field.Click on ""Return Request"" button on the ""Order Details"" page.Select the product you want to return, the number and the reason for the return on the screen that appears.Then, confirm the ""Return Conditions"" at the bottom of the screen and click on ""Continue"" button.You must send the return code displayed on the screen to the Aramex branch officer.For the returns made without using the return code, the shipping fee belongs to the sender.Return address: Aramex mashreq for logistics services, Engineering square, 4th industrial zone St, 6th of October city, Giza Governorate, Egypt Postal Code: 12573",https://www.defacto.com/en-eg/static/return-change-operations,True,return-change-operations
Can I return my order that I have purchased from defacto.com at the stores?,You can return the items within 30 days purchased from defacto.com at the nearest DeFacto store with your invoice.,https://www.defacto.com/en-eg/static/return-change-operations,True,return-change-operations
What do I have to do for size changes? Can I have these replaced at the stores?,"It currently is not possible for you to send the item/s you have purchased from the online store for an exchange. To make an exchange, simply say your order number or phone number.You can have your item/s replaced at our stores within 30 days of purchase. Our helpful store staff will gladly assist you in item exchanges. Only size exchanges are allowed in stores. The return of the exchanged product can only be done in store. Please do not send the exchanged product to the warehouse by cargo for a return.",https://www.defacto.com/en-eg/static/return-change-operations,True,return-change-operations
How many days is the return period?,"In case you are not fully satisfied with the product/s you have purchased from our website, you can return the product/s within 30 days from the day you have received them.",https://www.defacto.com/en-eg/static/return-change-operations,True,return-change-operations
