product_name,product_code,image_url,product_link,available_sizes
DeFactoFit Slim Fit Standard Leg Joggers,D8018AXBK81,,https://www.defacto.com/en-eg/defactofit-jogger-3238235,"['M', 'L', 'XL']"
Relax Fit Crew Neck Textured Knitted Pullover,D2061AXBG155,https://dfcdn.defacto.com.tr/3/D2061AX_24AU_BG155_01_02.jpg,https://www.defacto.com/en-eg/relax-fit-bisiklet-yaka-kazak-3136746,"['S', 'M', 'L', 'XL']"
Boxy Fit Long Sleeve Sweatshirt,E7116AXWT34,,https://www.defacto.com/en-eg/boxy-fit-bisiklet-yaka-sweatshirt-3241055,"['XS', 'S', 'M', 'L', 'XL']"
Standard Fit Polo Collar Buttoned Knitted Pullover,D1959AXNV64,https://dfcdn.defacto.com.tr/3/D1959AX_24AU_NV64_01_01.jpg,https://www.defacto.com/en-eg/standart-fit-polo-yaka-kazak-3160321,"['XS', 'S', 'M', 'L', 'XL']"
Relax Fit Long Sleeve Overshirt,B3903AXNV64,https://dfcdn.defacto.com.tr/3/B3903AX_24SP_NV64_01_02.jpg,https://www.defacto.com/en-eg/relax-fit-polo-yaka-gomlek-3008892,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
3 piece Regular Fit Boxer,W6734AZBK81,,https://www.defacto.com/en-eg/regular-fit-3lu-boxer-3125873,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Regular Fit Crew Neck T-Shirt,D4798AXNV163,https://dfcdn.defacto.com.tr/3/D4798AX_24AU_NV163_01_02.jpg,https://www.defacto.com/en-eg/relax-fit-bisiklet-yaka-tisort-3153446,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
Relax Fit V Neck Buttoned Knitted Cardigan,E5343AXER100,,https://www.defacto.com/en-eg/standart-fit-polo-yaka-kazak-3300225,"['S', 'M', 'L', 'XL']"
Relax Fit Hooded Waffle Zippered Sweatshirt,D2629AXBK81,https://dfcdn.defacto.com.tr/3/D2629AX_24AU_BK81_01_02.jpg,https://www.defacto.com/en-eg/relax-fit-kapusonlu-hirka-3154883,"['XS', 'S', 'M', 'L', 'XL']"
Slim Fit Lined Blazer,N0503AZBK27,https://dfcdn.defacto.com.tr/3/N0503AZ_25SP_BK27_01_01.jpg,https://www.defacto.com/en-eg/slim-fit-astarli-blazer-ceket-3241775,"['46', '48', '50', '52', '54', '56']"
Comfort Regular Fit Zippered Basic Sweatshirt,X7405AZAR214,https://dfcdn.defacto.com.tr/3/X7405AZ_25SP_AR214_01_02.jpg,https://www.defacto.com/en-eg/comfort-fit-dik-yaka-kalin-kumas-sweatshirt-3239685,"['XS', 'S', 'M', 'L', 'XL']"
Standard Fit Crew Neck Basic Knitted Pullover,N9902AZGN185,https://dfcdn.defacto.com.tr/3/N9902AZ_24WN_GN185_01_02.jpg,https://www.defacto.com/en-eg/standart-fit-bisiklet-yaka-triko-kazak-3112743,"['XS', 'S', 'M', 'L', 'XL']"
Modern Fit Poplin Patterned Cotton Blend Long Sleeve Shirt,D3456AXWT34,,https://www.defacto.com/en-eg/modern-fit-polo-yaka-uzun-kollu-gomlek-3160516,"['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']"
Oversize Fit Crew Neck Knitwear Pullover,B9718AXBE770,https://dfcdn.defacto.com.tr/3/B9718AX_24WN_BE770_01_02.jpg,https://www.defacto.com/en-eg/oversize-fit-bisiklet-yaka-selanik-kumas-kazak-3202646,"['XS', 'S', 'M', 'L', 'XL']"
New Regular Fit Polo Collar Pique Polo T-Shirt,C6066AXBN229,https://dfcdn.defacto.com.tr/3/C6066AX_24AU_BN229_01_01.jpg,https://www.defacto.com/en-eg/new-regular-fit-polo-yaka-polo-tisort-3153849,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Oversize Fit Hooded Printed Sweatshirt,B4805AXER42,,https://www.defacto.com/en-eg/oversize-fit-kapusonlu-sweatshirt-3071023,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
90's Slim Fit Skinny Leg Jeans,E8500AXNM84,,https://www.defacto.com/en-eg/90s-slim-fit-pantolon-3306249,"['28', '30', '32', '34', '36', '38']"
Relax Fit Checkered Cotton Long Sleeve Shirt,Z0639AZBN532,https://dfcdn.defacto.com.tr/3/Z0639AZ_23AU_BN532_01_03.jpg,https://www.defacto.com/en-eg/relax-fit-kareli-pamuklu-uzun-kollu-gomlek-3038354,"['XS', 'S', 'M', 'L']"
Comfort Fit Stand Collar Zippered Sweatshirt,A5276AXAR86,https://dfcdn.defacto.com.tr/3/A5276AX_24SP_AR86_01_03.jpg,https://www.defacto.com/en-eg/comfort-fit-hirka-2996884,"['S', 'M', 'L', 'XL']"
Relax Fit Stand Collar Zippered Basic Thick Sweatshirt,E5332AXNV118,https://dfcdn.defacto.com.tr/3/E5332AX_24WN_NV118_01_02.jpg,https://www.defacto.com/en-eg/relax-fit-dik-yaka-sweatshirt-3206738,['S']
Oversize Fit Hooded Soft Furry Basic Sweatshirt,Y1237AZPN612,,https://www.defacto.com/en-eg/oversize-fit-kapusonlu-sweatshirt-2903179,['S']
New Regular Fit Crew Neck Printed Thick Sweatshirt,D3670AXNV241,https://dfcdn.defacto.com.tr/3/D3670AX_24AU_NV241_01_02.jpg,https://www.defacto.com/en-eg/new-regular-fit-bisiklet-yaka-sweatshirt-3159693,"['S', 'M', 'L', 'XL']"
New Regular Fit Short Sleeve Pique Polo T-Shirt,C6066AXGN1208,https://dfcdn.defacto.com.tr/3/C6066AX_24AU_GN1208_01_01.jpg,https://www.defacto.com/en-eg/new-regular-fit-polo-yaka-polo-tisort-3153672,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Standard Fit Turtleneck Zippered Cardigan,C8172AXKH381,,https://www.defacto.com/en-eg/standart-fit-yarim-balikci-yaka-hirka-3160232,"['XS', 'M', 'L', 'XXL']"
New Regular Fit Crew Neck T-Shirt,V7699AZBE576,https://dfcdn.defacto.com.tr/3/V7699AZ_25SP_BE576_01_01.jpg,https://www.defacto.com/en-eg/new-regular-fit-bisiklet-yaka-tisort-3244397,"['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']"
Relax Fit Crew Neck Patterned Knitted Pullover,Y0619AZBG216,,https://www.defacto.com/en-eg/relax-fit-bisiklet-yaka-kazak-3155528,"['XS', 'S', 'M', 'L', 'XL', 'XXL']"
Modern Fit Blazer,B0122AXAR167,https://dfcdn.defacto.com.tr/3/B0122AX_23AU_AR167_01_03.jpg,https://www.defacto.com/en-eg/modern-fit-blazer-2902475,"['48', '50', '52', '54', '56', '58']"
Standard Fit Polo Collar Buttoned Knitted Pullover,D1959AXER139,https://dfcdn.defacto.com.tr/3/D1959AX_24AU_ER139_01_02.jpg,https://www.defacto.com/en-eg/standart-fit-polo-yaka-kazak-3160323,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Regular Fit Hooded Zippered Snap Closure Puffer Jacket,E7286AXBK27,https://dfcdn.defacto.com.tr/3/E7286AX_24WN_BK27_01_02.jpg,https://www.defacto.com/en-eg/regular-fit-kapusonlu-mont-3295916,"['S', 'M']"
Regular Fit Long Sleeve Sweatshirt,X8283AZBK81,https://dfcdn.defacto.com.tr/3/X8283AZ_25SP_BK81_01_01.jpg,https://www.defacto.com/en-eg/regular-fit-kapusonlu-sweatshirt-3244347,"['S', 'M', 'L', 'XL', 'XXL']"
New Regular Fit Crew Neck Basic T-Shirt,V7699AZBK81,https://dfcdn.defacto.com.tr/3/V7699AZ_25SP_BK81_01_01.jpg,https://www.defacto.com/en-eg/new-regular-fit-bisiklet-yaka-tisort-3243551,"['S', 'M', 'L', 'XL', 'XXL']"
Relax Fit Striped Short Sleeve Ribbed Polo T-Shirt,D4718AXWT32,,https://www.defacto.com/en-eg/relax-fit-polo-yaka-polo-tisort-3153083,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Standard Fit Crew Neck Basic Knitted Pullover,N9902AZKH461,https://dfcdn.defacto.com.tr/3/N9902AZ_24WN_KH461_01_01.jpg,https://www.defacto.com/en-eg/standart-fit-bisiklet-yaka-triko-kazak-3112739,"['M', 'L']"
Regular Fit Hooded Soft Furry Inside Basic Zippered Sweatshirt,X8331AZGR184,https://dfcdn.defacto.com.tr/3/X8331AZ_24AU_GR184_01_03.jpg,https://www.defacto.com/en-eg/regular-fit-kapusonlu-hirka-3113509,"['M', 'L', 'XL', 'XXL', '3XL']"
jogger Double Hem Trousers,U4473AZBK27,https://dfcdn.defacto.com.tr/3/U4473AZ_24SP_BK27_01_02.jpg,https://www.defacto.com/en-eg/jogger-pantolon-3055860,"['28', '30', '32', '34', '36', '38']"
Comfort Regular Fit Relaxed Fit Zippered Basic Sweatshirt,X7405AZBG735,https://dfcdn.defacto.com.tr/3/X7405AZ_25SP_BG735_01_02.jpg,https://www.defacto.com/en-eg/comfort-fit-dik-yaka-kalin-kumas-sweatshirt-3238948,"['XS', 'S', 'M', 'L', 'XL']"
Loose Fit Crew Neck Printed Heavy Cotton Short Sleeve T-Shirt,C6196AXPR493,https://dfcdn.defacto.com.tr/3/C6196AX_24AU_PR493_01_02.jpg,https://www.defacto.com/en-eg/loose-fit-bisiklet-yaka-baskili-tisort-3188060,"['XS', 'S']"
Standard Fit Crew Neck Basic Knitted Pullover,N9902AZBG300,https://dfcdn.defacto.com.tr/3/N9902AZ_24WN_BG300_01_02.jpg,https://www.defacto.com/en-eg/standart-fit-bisiklet-yaka-triko-kazak-3112738,"['M', 'L', 'XL']"
Double Sided Slim Fit Hooded Zippered Waterproof Jacket,C5821AXBK27,,https://www.defacto.com/en-eg/su-itici-cift-tarafli-slim-fit-kapusonlu-yagmurluk-mont-3239948,"['S', 'M', 'L', 'XL', 'XXL']"
Slim Fit Shirt Collar Zippered Light Jacket,D6334AXBG73,,https://www.defacto.com/en-eg/slim-fit-gomlek-yaka-mont-3244193,"['L', 'XL']"
Relax Fit Crew Neck Basic Knitted Pullover,D3278AXKH461,https://dfcdn.defacto.com.tr/3/D3278AX_24WN_KH461_01_02.jpg,https://www.defacto.com/en-eg/relax-fit-bisiklet-yaka-kazak-3155677,"['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']"
Boxy Fit Crew Neck Striped Cotton Short Sleeve T-Shirt,D5595AXGN536,https://dfcdn.defacto.com.tr/3/D5595AX_24AU_GN536_01_02.jpg,https://www.defacto.com/en-eg/boxy-fit-bisiklet-yaka-tisort-3166737,"['XS', 'S', 'M', 'L', 'XL']"
Pedro Slim Fit Skinny Leg Jeans,B8418AXNM28,,https://www.defacto.com/en-eg/pedro-slim-fit-dar-paca-jean-pantolon-3243767,"['30 Size - 30 Length', '32 Size - 30 Length', '33 Size - 32 Length', '34 Size - 30 Length', '34 Size - 32 Length', '36 Size - 30 Length', '36 Size - 32 Length', '38 Size - 32 Length', '40 Size - 32 Length']"
Pedro Slim Fit Normal Waist Narrow Leg Jeans,W7521AZNM29,,https://www.defacto.com/en-eg/pedro-slim-fit-jean-pantolon-3105486,"['28 Size - 30 Length', '29 Size - 30 Length', '30 Size - 30 Length']"
DeFactoFit Standard Fit NBA Licensed Shorts,A1712AXNV176,,https://www.defacto.com/en-eg/defacto-fit-regular-fit-sort-2798097,"['XS', 'S', 'M', 'L', 'XL']"
Regular Fit Polo Collar Oxford Striped Long Sleeve Shirt,D6101AXGN756,https://dfcdn.defacto.com.tr/3/D6101AX_25SP_GN756_01_02.jpg,https://www.defacto.com/en-eg/regular-fit-polo-yaka-uzun-kollu-gomlek-3238318,"['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']"
Standard Fit Basic Knitted Pullover,D1967AXER100,https://dfcdn.defacto.com.tr/3/D1967AX_24AU_ER100_01_02.jpg,https://www.defacto.com/en-eg/standart-fit-bisiklet-yaka-kazak-3155503,"['XS', 'S', 'XXL', '3XL']"
3 piece Regular Fit Boxer,X9730AZBK81,,https://www.defacto.com/en-eg/regular-fit-3lu-boxer-3126069,"['S', 'M', 'L', 'XL', 'XXL']"
Loose Fit Crew Neck Back Printed T-Shirt,C0152AXGR184,,https://www.defacto.com/en-eg/loose-fit-bisiklet-yaka-baskili-tisort-3080995,"['S', 'M', 'L', 'XL']"
Regular Fit Hooded Cotton Lined Zippered Jacket,D7578AXGR503,,https://www.defacto.com/en-eg/regular-fit-kapusonlu-mont-3238658,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Slim Fit Short Sleeve T-Shirt,X6086AZNV64,,https://www.defacto.com/en-eg/slim-fit-dik-yaka-polo-tisort-2473554,"['S', 'M', 'XL', 'XXL']"
Relax Fit Crew Neck Cotton Knitted Pullover,D3290AXBK27,https://dfcdn.defacto.com.tr/3/D3290AX_24AU_BK27_01_02.jpg,https://www.defacto.com/en-eg/relax-fit-bisiklet-yaka-kazak-3160535,"['XS', 'S', 'M', 'L', '3XL']"
Standard Fit Crew Neck Basic Knitted Pullover,A8458AXOG343,https://dfcdn.defacto.com.tr/3/A8458AX_24SP_OG343_01_02.jpg,https://www.defacto.com/en-eg/standart-fit-bisiklet-yaka-triko-kazak-3043816,"['XS', 'XXL', '3XL']"
Boxy Fit Long Sleeve Sweatshirt,E6523AXBN337,https://dfcdn.defacto.com.tr/3/E6523AX_24WN_BN337_01_01.jpg,https://www.defacto.com/en-eg/boxy-fit-polo-yaka-sweatshirt-3206479,"['XS', 'M']"
jogger Super Skinny Hem Trousers,C6022AXBG74,https://dfcdn.defacto.com.tr/3/C6022AX_25SP_BG74_01_01.jpg,https://www.defacto.com/en-eg/jogger-dar-paca-pantolon-3244861,"['28', '30', '32', '34', '36', '38', '40']"
Regular Fit Flannel Long Sleeve Checkered Shirt,D5835AXER98,https://dfcdn.defacto.com.tr/3/D5835AX_24AU_ER98_01_03.jpg,https://www.defacto.com/en-eg/regular-fit-polo-yaka-uzun-kollu-gomlek-3172397,"['XS', 'S', 'M', 'L']"
New Regular Fit Polo Collar Polo T-Shirt,D4864AXER42,,https://www.defacto.com/en-eg/new-regular-fit-polo-yaka-polo-tisort-3153813,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Slim Fit Polo Neck Zippered Jacket,D7533AXBG216,https://dfcdn.defacto.com.tr/3/D7533AX_25SP_BG216_01_02.jpg,https://www.defacto.com/en-eg/slim-fit-polo-yaka-mont-3244731,"['S', 'M', 'L', 'XL', 'XXL', '3XL']"
Black Standard Fit Crew Neck Striped Knitted Pullover,D1968AXBK81,https://dfcdn.defacto.com.tr/3/D1968AX_24AU_BK81_01_02.jpg,https://www.defacto.com/en-eg/standart-fit-bisiklet-yaka-kazak-3155506,"['XS', 'S', 'M', 'L', 'XL', '3XL']"
Straight Fit Normal Waist Pipe Leg Trousers,B2156AXBN304,https://dfcdn.defacto.com.tr/3/B2156AX_24SP_BN304_01_02.jpg,https://www.defacto.com/en-eg/straight-fit-pantolon-3063577,"['28', '30', '32', '34', '36', '38', '40']"
